Title,Current Price,Original Price,Sold,Review Amount,Ratings,Delivery,Vouchers,Web Link
Digital Watch Waterproof 30M Fashion Women's Watch for Men's Sports Waterproof Simple Silicone Electronic Watch for Women,100,৳ 199,24K Sold,(2552),3.7/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/2022-30m-i249576971-s1663800191.html?search=1
LED Digital Fashionable Luxury Silicone Band Sports Colourful Belt Watch for Men,71,৳ 155,1K Sold,(62),3/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/led-i326153870-s1572745304.html?search=1
〖New Year's discount〗Lanz men's luminous dual calendar quartz watch with pointed glass,983,"৳ 2,149",1K Sold,(172),3.9/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/new-years-discount-lanz-mens-luminous-dual-calendar-quartz-watch-with-pointed-glass-i319326071-s1465134623.html?search=1
Elegant Luxury Full Diamond Quartz Watch / Ladies Korean Fashion Rhinestone Wristwatch Bracelet Set,148,৳ 237,5K Sold,(363),4.1/5,Free Delivery,7 Vouchers,https://www.daraz.com.bd/products/elegant-luxury-full-diamond-quartz-watch-ladies-korean-fashion-rhinestone-wristwatch-bracelet-set-i311044831-s1478801054.html?search=1
Ole_vs Men Leather Analoge Quartz Fashion Watch for Men Brown,289,"৳ 1,280",10K Sold,(1559),4/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/ole_vs-men-leather-analoge-quartz-fashion-watch-for-men-brown-i272443734-s1519796722.html?search=1
OLE_VS Rep_lica European and American fashion waterproof Men's Quartz Watch,455,"৳ 1,500",860 Sold,(105),3.8/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/ole_vs-rep_lica-i302091697-s1440445888.html?search=1
POEDAGAR 615 Diamond Cut Watch For Men Waterproof Calendar Luminous Stainless Steel Band Wrist Watch Fashion Business Quartz Watch Man,977,"৳ 3,500",248 Sold,(49),4.5/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/poedagar-615-i324454478-s1552859706.html?search=1
TRSOYE Brand  new luxury fashion leather belt watche wrist-watche for men,308,"৳ 1,290",529 Sold,(54),4.1/5,,5% Off,https://www.daraz.com.bd/products/trsoye-brand-new-luxury-fashion-leather-belt-watche-wrist-watche-for-men-i324522621-s1553189644.html?search=1
Olev_vs Luxury Top Quality Luxury Leather Analog quartz fashionable watch for men - Watch For Men - Watch,289,"৳ 1,590",2K Sold,(422),4.1/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/olev_vs-luxury-top-quality-luxury-leather-analog-quartz-fashionable-watch-for-men-watch-for-men-watch-i318710178-s1454475565.html?search=1
OLEVS Leather Waterproof Quartz Fashion Watch for Men,286,"৳ 1,100",622 Sold,(60),4.1/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/olevs-leather-waterproof-quartz-fashion-watch-for-men-i240841923-s1496657719.html?search=1
Women Men Waterproof Watch Fashion Outdoor Digital LED Sports Watches LED Digital Dual Display Watch Clock Camping Night Light Wriswatch,312,৳ 518,135 Sold,(21),5/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/led-led-i314851205-s1419185957.html?search=1
Men's Watches Luxury Men Business Quartz WristWatch Leather Bracelet Watch Sports Casual Male Luminous Clock,257,৳ 521,1K Sold,(130),3.8/5,Free Delivery,7 Vouchers,https://www.daraz.com.bd/products/luxury-mens-business-quartz-watch-top-brand-casual-leather-strap-calendar-watches-for-women-men-sports-wristclock-i301104886-s1337884800.html?search=1
Waterproof Classic Leather Quartz Watch  Fashion Watch for Men,284,৳ 950,128 Sold,(18),4.9/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/waterproof-classic-leather-quartz-watch-fashion-watch-for-men-i326799583-s1638770907.html?search=1
olevs leather waterproof quartz fashion watch for men,290,"৳ 1,450",742 Sold,(60),4.3/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/olevs-leather-waterproof-quartz-fashion-watch-for-men-i231572787-s1627823475.html?search=1
New European and American fashionable Stailnless Steel Men's Quartz Watch For men,455,৳ 750,3K Sold,(541),4.1/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/new-european-and-american-fashionable-stailnless-steel-mens-quartz-watch-for-men-i323742104-s1597717693.html?search=1
Ole_vs Top Luxury Stainless Steel Analog quartz fashionable watch for men,468,"৳ 1,750",3K Sold,(516),3.8/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/top-luxury-stainless-steel-analog-quartz-fashionable-watch-for-men-i302100109-s1461023213.html?search=1
New Cky Analog Sports Watch for Men-ROUND,165,৳ 404,5K Sold,(971),4.4/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/cky-i278632413-s1261243813.html?search=1
SKMEI 1579 Men Digital Watch Fashion Touch Screen Steel Wristwatch Male Gifts Watches,347,"৳ 1,250",509 Sold,(53),4/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/skmei-1579-i322897940-s1673949839.html?search=1
New  European and American fashionable Stailnless Steel Men's Quartz Watch For men-2,594,৳ 890,1K Sold,(167),3.8/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/2-i328406900-s1622020353.html?search=1
POEDAGAR Luxury Watch Business Waterproof Male Clock Luminous Date Stainless Steel Square Quartz Men Watch 613,999,"৳ 1,800",172 Sold,(19),4.2/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/poedagar-613-i324338179-s1693258920.html?search=1
"Upgrade your wrist game with a men's silver dial white fashion steel watch ,Stainless Steel - a stylish, low-maintenance accessory",150,৳ 300,2K Sold,(277),4.5/5,,5% Off,https://www.daraz.com.bd/products/upgrade-your-wrist-game-with-a-mens-silver-dial-white-fashion-steel-watch-stainless-steel-a-stylish-low-maintenance-accessory-i228623657-s1172430890.html?search=1
Binbond Quartz Mens Watch Trend Market Watch Style Locomotive Concept Watch Men - Watch For Men - Watch For Men - Watch - Watch For Men - Watch For Men,336,"৳ 1,250",144 Sold,(10),3.8/5,,5% Off,https://www.daraz.com.bd/products/binbond-i311588609-s1398704455.html?search=1
New Men's Business Luxury Watch  Stainless Clock Steel Analog Quartz watch - Watch - Watch For Men,127,৳ 420,1K Sold,(134),3.7/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/new-mens-business-luxury-watch-stainless-clock-steel-analog-quartz-watch-watch-watch-for-men-i229519259-s1649366153.html?search=1
Sanda Waterproof Digital Watch for men,330,"৳ 1,299",664 Sold,(98),3.5/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/sanda-i255915596-s1203789514.html?search=1
Fabric Canvas Strap Casual Cool Sport Round Dial Wrist Watch for men - Watch For Men - Watch - Watch For Men - Watch - ঘড়ি,199,৳ 799,667 Sold,(107),3.7/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/fabric-canvas-strap-casual-cool-sport-round-dial-wrist-watch-for-men-watch-for-men-watch-watch-for-men-watch-i264623078-s1235148680.html?search=1
"Stay sporty with a Silicon Boys Digital Sports Watch - daily life waterproof, fashionable,  and  easy  to  clean for men.",176,৳ 192,458 Sold,(75),4.1/5,,5% Off,https://www.daraz.com.bd/products/stay-sporty-with-a-silicon-boys-digital-sports-watch-daily-life-waterproof-fashionable-and-easy-to-clean-for-men-i291585658-s1296677652.html?search=1
MB333 Beiki Love Rhinestone Quartz Bracelets watches For Women Ladies,99,৳ 350,2K Sold,(352),4.5/5,,5% Off,https://www.daraz.com.bd/products/-i225752785-s1717757321.html?search=1
New Exclusive Silicone Ladies Watch,108,৳ 145,2K Sold,(234),3.7/5,,5% Off,https://www.daraz.com.bd/products/-i286370498-s1284499693.html?search=1
Lavish indulgent Fashionable Watch Silicone Band Quartz Analog Wrist Watch For Men - Watch For Men - Iconic Style,136,৳ 550,3K Sold,(531),3.9/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/lavish-indulgent-fashionable-watch-silicone-band-quartz-analog-wrist-watch-for-men-watch-for-men-iconic-style-i259828451-s1552491225.html?search=1
Olevs 5666 Brand New Men Watch Luxury Leather Luminous Hand Watch Full Black - Watch For Men,369,"৳ 1,450",171 Sold,(29),4/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/olevs-5666-brand-new-men-watch-luxury-leather-luminous-hand-watch-full-black-watch-for-men-i324520781-s1556893446.html?search=1
"TRSOYE new luxury fashion leather belt wrist-watche for men, only Family Tuch",298,"৳ 1,200",1K Sold,(190),4/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/trsoye-new-luxury-fashion-leather-belt-wrist-watche-for-men-only-family-tuch-i322312304-s1670193775.html?search=1
Trendsetter -Craftsmanship and Trendy -Black Analog Watch for Men- Progressively Better Preferble - Low Hassle and Maintanance,118,৳ 300,3K Sold,(409),4.3/5,,5% Off,https://www.daraz.com.bd/products/trendsetter-craftsmanship-and-trendy-black-analog-watch-for-men-progressively-better-preferble-low-hassle-and-maintanance-i276860594-s1256474889.html?search=1
POEDAGAR  836 Men's Watches Luxury Brand Waterproof Calendar Luminous Steel Band Wrist Watches Fashion Business Men's Quartz Watches,996,"৳ 3,550",1K Sold,(166),4.6/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/poedagar-836-i300893712-s1336842205.html?search=1
Ol_evs 9931 New Business Quartz Watch For Men Luxury Diamond Dial Waterproof Stainless Steel Strap Men Wristwatch,499,"৳ 1,850",937 Sold,(72),3.9/5,,5% Off,https://www.daraz.com.bd/products/ol_evs-9931-i326538948-s1704754487.html?search=1
Magnet Stainless Steel Analog Watch for Women,94,৳ 250,953 Sold,(135),3.9/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/-i135426531-s1460259843.html?search=1
Curren 9081 Pu Leather Analog Watch For Women - Coffee,"1,200","৳ 1,900",361 Sold,(88),4.7/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/curren-9081-pu-leather-analog-watch-for-women-coffee-i184455476-s1296775675.html?search=1
OLEVS Leather Quartz Fashion Watch for Men! - Watch,290,৳ 700,62 Sold,(8),4.4/5,,5% Off,https://www.daraz.com.bd/products/olevs-i331769751-s1615882474.html?search=1
New Stylish Oleves Leather watch For Men!,295,৳ 750,211 Sold,(25),3.9/5,,5% Off,https://www.daraz.com.bd/products/oleves-i328378391-s1602466601.html?search=1
LASIKA Watch Sports Watch Fashion Mens Watches in Wristwatches Luxury Waterproof Watch,198,৳ 650,381 Sold,(54),3.9/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/-i302713298-s1347135169.html?search=1
LASIKA W-H All Model Digital Watch for Men - Watch For Men - Watch - ঘড়ি,305,"৳ 1,050",3K Sold,(772),4.3/5,Free Delivery,5% Off,https://www.daraz.com.bd/products/lasika-w-h9015-digital-watch-for-men-watch-for-men-watch-i132106078-s1170601466.html?search=1
